movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,1294656人评价
霸王别姬,2,9.6,955946人评价
这个杀手不太冷,3,9.4,1187767人评价
阿甘正传,4,9.4,1020447人评价
美丽人生,5,9.5,597420人评价
泰坦尼克号,6,9.3,956119人评价
千与千寻,7,9.3,949161人评价
辛德勒的名单,8,9.5,534309人评价
盗梦空间,9,9.3,1031001人评价
忠犬八公的故事,10,9.3,674644人评价
机器人总动员,11,9.3,685877人评价
三傻大闹宝莱坞,12,9.2,925292人评价
海上钢琴师,13,9.2,768275人评价
放牛班的春天,14,9.3,638869人评价
大话西游之大圣娶亲,15,9.2,710479人评价
楚门的世界,16,9.2,694966人评价
龙猫,17,9.2,626211人评价
星际穿越,18,9.2,705475人评价
教父,19,9.2,466749人评价
熔炉,20,9.3,405303人评价
无间道,21,9.1,583848人评价
当幸福来敲门,22,9.0,748219人评价
疯狂动物城,23,9.2,786000人评价
怦然心动,24,9.0,815041人评价
触不可及,25,9.2,493348人评价
乱世佳人,26,9.2,350635人评价
蝙蝠侠：黑暗骑士,27,9.1,471326人评价
活着,28,9.2,384172人评价
少年派的奇幻漂流,29,9.0,757999人评价
天堂电影院,30,9.1,381608人评价
鬼子来了,31,9.2,315599人评价
十二怒汉,32,9.4,226140人评价
控方证人,33,9.6,159106人评价
指环王3：王者无敌,34,9.1,377861人评价
天空之城,35,9.1,442564人评价
搏击俱乐部,36,9.0,492562人评价
飞屋环游记,37,8.9,673997人评价
大话西游之月光宝盒,38,8.9,573014人评价
摔跤吧！爸爸,39,9.1,702965人评价
罗马假日,40,9.0,507452人评价
哈尔的移动城堡,41,9.0,484830人评价
窃听风暴,42,9.1,301808人评价
闻香识女人,43,9.0,431354人评价
辩护人,44,9.2,298111人评价
两杆大烟枪,45,9.1,337499人评价
飞越疯人院,46,9.1,340775人评价
死亡诗社,47,9.0,368521人评价
V字仇杀队,48,8.8,559957人评价
指环王2：双塔奇兵,49,9.0,354644人评价
教父2,50,9.1,252708人评价
海豚湾,51,9.3,224551人评价
指环王1：魔戒再现,52,8.9,397214人评价
素媛,53,9.1,262288人评价
末代皇帝,54,9.1,275695人评价
饮食男女,55,9.1,273398人评价
美丽心灵,56,8.9,391562人评价
情书,57,8.9,487066人评价
狮子王,58,8.9,376376人评价
钢琴家,59,9.1,258290人评价
美国往事,60,9.1,222188人评价
小鞋子,61,9.2,188969人评价
本杰明·巴顿奇事,62,8.8,507598人评价
七宗罪,63,8.8,537313人评价
西西里的美丽传说,64,8.8,474505人评价
致命魔术,65,8.8,442422人评价
看不见的客人,66,8.7,517278人评价
黑客帝国,67,8.9,374111人评价
被嫌弃的松子的一生,68,8.9,391728人评价
让子弹飞,69,8.7,826376人评价
拯救大兵瑞恩,70,8.9,321237人评价
大闹天宫,71,9.3,151069人评价
音乐之声,72,8.9,297167人评价
哈利·波特与魔法石,73,8.8,386037人评价
低俗小说,74,8.8,434949人评价
天使爱美丽,75,8.7,596234人评价
寻梦环游记,76,9.0,660359人评价
勇敢的心,77,8.8,355896人评价
沉默的羔羊,78,8.8,442376人评价
剪刀手爱德华,79,8.7,608487人评价
蝴蝶效应,80,8.7,486250人评价
春光乍泄,81,8.9,322307人评价
猫鼠游戏,82,8.8,328827人评价
心灵捕手,83,8.8,353666人评价
入殓师,84,8.8,374188人评价
布达佩斯大饭店,85,8.8,431700人评价
禁闭岛,86,8.7,469611人评价
幽灵公主,87,8.8,297774人评价
穿条纹睡衣的男孩,88,9.0,210771人评价
阳光灿烂的日子,89,8.8,343325人评价
玛丽和马克思,90,8.9,270421人评价
第六感,91,8.8,294261人评价
狩猎,92,9.1,175175人评价
重庆森林,93,8.7,419939人评价
致命ID,94,8.7,406946人评价
断背山,95,8.7,403125人评价
加勒比海盗,96,8.7,453305人评价
阿凡达,97,8.6,679930人评价
摩登时代,98,9.2,124774人评价
大鱼,99,8.8,313510人评价
告白,100,8.7,424364人评价
一一,101,9.0,191123人评价
射雕英雄传之东成西就,102,8.7,342677人评价
阳光姐妹淘,103,8.8,338189人评价
消失的爱人,104,8.7,461892人评价
甜蜜蜜,105,8.8,279992人评价
喜剧之王,106,8.6,426784人评价
爱在黎明破晓前,107,8.8,284465人评价
小森林 夏秋篇,108,8.9,189189人评价
侧耳倾听,109,8.8,221598人评价
上帝之城,110,8.9,184845人评价
恐怖直播,111,8.7,302925人评价
倩女幽魂,112,8.7,343582人评价
风之谷,113,8.8,220157人评价
红辣椒,114,8.9,179490人评价
超脱,115,8.8,225946人评价
爱在日落黄昏时,116,8.8,249662人评价
菊次郎的夏天,117,8.8,242682人评价
驯龙高手,118,8.7,367771人评价
请以你的名字呼唤我,119,8.8,264589人评价
